date,city,state,city_ibge_code,case_inc,death_inc
2020-10-26,Joaquim Gomes,AL,2703809,0,0
2020-10-27,Joaquim Gomes,AL,2703809,10,0
2020-10-28,Joaquim Gomes,AL,2703809,2,1
2020-10-29,Joaquim Gomes,AL,2703809,0,0
2020-10-30,Joaquim Gomes,AL,2703809,6,0
2020-10-31,Joaquim Gomes,AL,2703809,0,0
2020-11-01,Joaquim Gomes,AL,2703809,0,1
2020-11-02,Joaquim Gomes,AL,2703809,0,0
2020-11-03,Joaquim Gomes,AL,2703809,0,0
2020-11-04,Joaquim Gomes,AL,2703809,2,0
2020-11-05,Joaquim Gomes,AL,2703809,3,0
2020-11-06,Joaquim Gomes,AL,2703809,3,0
2020-11-07,Joaquim Gomes,AL,2703809,2,0
2020-11-08,Joaquim Gomes,AL,2703809,0,0
2020-11-09,Joaquim Gomes,AL,2703809,3,0
2020-11-10,Joaquim Gomes,AL,2703809,0,0
2020-11-11,Joaquim Gomes,AL,2703809,6,0
2020-11-12,Joaquim Gomes,AL,2703809,0,0
2020-11-13,Joaquim Gomes,AL,2703809,2,0
2020-11-14,Joaquim Gomes,AL,2703809,0,0
2020-11-15,Joaquim Gomes,AL,2703809,0,0
2020-11-16,Joaquim Gomes,AL,2703809,0,0
2020-11-17,Joaquim Gomes,AL,2703809,0,0
2020-11-18,Joaquim Gomes,AL,2703809,5,0
2020-09-10,Lagoa da Canoa,AL,2704104,1,0
2020-09-11,Lagoa da Canoa,AL,2704104,1,0
2020-09-12,Lagoa da Canoa,AL,2704104,5,0
2020-09-13,Lagoa da Canoa,AL,2704104,0,0
2020-09-14,Lagoa da Canoa,AL,2704104,0,0
2020-09-15,Lagoa da Canoa,AL,2704104,2,0
2020-09-16,Lagoa da Canoa,AL,2704104,9,0
2020-09-17,Lagoa da Canoa,AL,2704104,1,0
2020-09-18,Lagoa da Canoa,AL,2704104,1,0
2020-09-19,Lagoa da Canoa,AL,2704104,3,0
2020-09-20,Lagoa da Canoa,AL,2704104,0,0
2020-09-21,Lagoa da Canoa,AL,2704104,36,0
2020-09-22,Lagoa da Canoa,AL,2704104,37,0
2020-09-23,Lagoa da Canoa,AL,2704104,25,0
2020-09-24,Lagoa da Canoa,AL,2704104,0,0
2020-09-25,Lagoa da Canoa,AL,2704104,1,0
2020-09-26,Lagoa da Canoa,AL,2704104,5,0
2020-09-27,Lagoa da Canoa,AL,2704104,9,0
2020-09-28,Lagoa da Canoa,AL,2704104,3,0
2020-09-29,Lagoa da Canoa,AL,2704104,2,0
2020-09-30,Lagoa da Canoa,AL,2704104,0,0
2020-10-01,Lagoa da Canoa,AL,2704104,0,0
2020-10-02,Lagoa da Canoa,AL,2704104,0,0
2020-10-03,Lagoa da Canoa,AL,2704104,4,0
2020-10-04,Lagoa da Canoa,AL,2704104,17,0
2020-10-05,Lagoa da Canoa,AL,2704104,0,0
2020-10-06,Lagoa da Canoa,AL,2704104,0,0
2020-10-07,Lagoa da Canoa,AL,2704104,1,0
2020-10-08,Lagoa da Canoa,AL,2704104,1,0
2020-10-09,Lagoa da Canoa,AL,2704104,0,0
2020-10-10,Lagoa da Canoa,AL,2704104,1,0
2020-10-11,Lagoa da Canoa,AL,2704104,0,0
2020-10-12,Lagoa da Canoa,AL,2704104,0,0
2020-10-13,Lagoa da Canoa,AL,2704104,2,0
2020-10-14,Lagoa da Canoa,AL,2704104,0,0
2020-10-15,Lagoa da Canoa,AL,2704104,0,0
2020-10-16,Lagoa da Canoa,AL,2704104,2,0
2020-10-17,Lagoa da Canoa,AL,2704104,0,1
2020-10-18,Lagoa da Canoa,AL,2704104,3,0
2020-10-19,Lagoa da Canoa,AL,2704104,0,0
2020-10-20,Lagoa da Canoa,AL,2704104,1,0
2020-10-21,Lagoa da Canoa,AL,2704104,1,0
2020-10-22,Lagoa da Canoa,AL,2704104,1,0
2020-10-23,Lagoa da Canoa,AL,2704104,0,0
2020-10-24,Lagoa da Canoa,AL,2704104,0,1
2020-10-25,Lagoa da Canoa,AL,2704104,0,0
2020-10-26,Lagoa da Canoa,AL,2704104,0,0
2020-10-27,Lagoa da Canoa,AL,2704104,0,0
2020-10-28,Lagoa da Canoa,AL,2704104,1,0
2020-10-29,Lagoa da Canoa,AL,2704104,0,0
2020-10-30,Lagoa da Canoa,AL,2704104,0,0
2020-10-31,Lagoa da Canoa,AL,2704104,0,0
2020-11-01,Lagoa da Canoa,AL,2704104,0,0
2020-11-02,Lagoa da Canoa,AL,2704104,0,0
2020-11-03,Lagoa da Canoa,AL,2704104,0,0
2020-11-04,Lagoa da Canoa,AL,2704104,2,0
2020-11-05,Lagoa da Canoa,AL,2704104,1,0
2020-11-06,Lagoa da Canoa,AL,2704104,0,0
2020-11-07,Lagoa da Canoa,AL,2704104,0,0
2020-11-08,Lagoa da Canoa,AL,2704104,1,0
2020-11-09,Lagoa da Canoa,AL,2704104,0,0
2020-11-10,Lagoa da Canoa,AL,2704104,0,0
2020-11-11,Lagoa da Canoa,AL,2704104,1,0
2020-11-12,Lagoa da Canoa,AL,2704104,2,0
2020-11-13,Lagoa da Canoa,AL,2704104,0,0
2020-11-14,Lagoa da Canoa,AL,2704104,0,0
2020-11-15,Lagoa da Canoa,AL,2704104,0,0
2020-11-16,Lagoa da Canoa,AL,2704104,0,0
2020-11-17,Lagoa da Canoa,AL,2704104,0,0
2020-11-18,Lagoa da Canoa,AL,2704104,11,0
2020-09-10,Maceió,AL,2704302,45,4
2020-09-11,Maceió,AL,2704302,50,4
2020-09-12,Maceió,AL,2704302,377,4
2020-09-13,Maceió,AL,2704302,29,4
2020-09-14,Maceió,AL,2704302,30,4
2020-09-15,Maceió,AL,2704302,50,3
2020-09-16,Maceió,AL,2704302,47,3
2020-09-17,Maceió,AL,2704302,16,2
2020-09-18,Maceió,AL,2704302,55,2
