region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Coruripe,2020-09-30,,estimate,-0.01,-0.012,0.016,-0.04,-0.018,-0.013,-0.008,-0.004,0.013
Penedo,2020-09-26,,estimate,-0.01,-0.012,0.025,-0.06,-0.023,-0.014,-0.006,0.001,0.024
Coruripe,2020-10-01,,estimate,-0.01,-0.01,0.016,-0.037,-0.017,-0.012,-0.008,-0.003,0.015
Palmeira dos Índios,2020-10-21,,estimate,-0.01,-0.008,0.02,-0.036,-0.02,-0.014,-0.006,0.003,0.027
Arapiraca,2020-10-06,,estimate,-0.01,-0.008,0.022,-0.041,-0.023,-0.015,-0.005,0.005,0.03
Coruripe,2020-10-02,,estimate,-0.009,-0.009,0.016,-0.034,-0.016,-0.012,-0.007,-0.002,0.018
Coruripe,2020-10-03,,estimate,-0.009,-0.008,0.016,-0.032,-0.015,-0.011,-0.006,-0.001,0.019
Palmeira dos Índios,2020-10-22,,estimate,-0.009,-0.007,0.02,-0.035,-0.02,-0.013,-0.005,0.004,0.029
Palmeira dos Índios,2020-10-23,,estimate,-0.009,-0.006,0.021,-0.034,-0.019,-0.013,-0.004,0.005,0.03
Penedo,2020-09-25,,estimate,-0.008,-0.01,0.025,-0.054,-0.021,-0.013,-0.005,0.003,0.028
Coruripe,2020-10-04,,estimate,-0.008,-0.006,0.016,-0.03,-0.015,-0.01,-0.006,0,0.021
Palmeira dos Índios,2020-10-24,,estimate,-0.008,-0.005,0.021,-0.034,-0.019,-0.012,-0.003,0.006,0.032
Penedo,2020-09-24,,estimate,-0.007,-0.007,0.024,-0.047,-0.018,-0.011,-0.003,0.005,0.031
Coruripe,2020-10-05,,estimate,-0.007,-0.005,0.017,-0.028,-0.014,-0.01,-0.005,0.001,0.024
Palmeira dos Índios,2020-10-25,,estimate,-0.007,-0.005,0.022,-0.034,-0.019,-0.012,-0.002,0.007,0.035
Coruripe,2020-10-06,,estimate,-0.007,-0.004,0.017,-0.027,-0.013,-0.009,-0.004,0.002,0.027
Palmeira dos Índios,2020-10-26,,estimate,-0.007,-0.004,0.022,-0.034,-0.018,-0.011,-0.001,0.008,0.037
Marechal Deodoro,2020-10-11,,estimate,-0.007,-0.002,0.038,-0.055,-0.028,-0.014,0.001,0.015,0.069
Santana do Ipanema,2020-10-15,,estimate,-0.006,-0.006,0.028,-0.052,-0.023,-0.012,0.001,0.011,0.04
Coruripe,2020-10-07,,estimate,-0.006,-0.003,0.018,-0.026,-0.013,-0.009,-0.004,0.004,0.03
Palmeira dos Índios,2020-10-27,,estimate,-0.006,-0.003,0.023,-0.034,-0.018,-0.011,-0.001,0.009,0.039
Palmeira dos Índios,2020-10-28,,estimate,-0.006,-0.003,0.024,-0.035,-0.018,-0.011,0,0.01,0.041
Coruripe,2020-10-08,,estimate,-0.006,-0.002,0.019,-0.025,-0.012,-0.009,-0.003,0.004,0.033
Coruripe,2020-10-09,,estimate,-0.006,-0.002,0.019,-0.025,-0.012,-0.008,-0.003,0.005,0.036
Coruripe,2020-10-10,,estimate,-0.006,-0.001,0.02,-0.025,-0.012,-0.008,-0.002,0.005,0.037
Palmeira dos Índios,2020-11-10,,estimate based on partial data,-0.006,0.003,0.053,-0.067,-0.024,-0.013,0.003,0.023,0.093
Palmeira dos Índios,2020-11-11,,estimate based on partial data,-0.006,0.003,0.056,-0.069,-0.024,-0.014,0.003,0.023,0.099
Palmeira dos Índios,2020-11-12,,estimate based on partial data,-0.006,0.004,0.06,-0.072,-0.025,-0.014,0.004,0.024,0.106
Palmeira dos Índios,2020-11-13,,estimate based on partial data,-0.006,0.004,0.064,-0.076,-0.025,-0.014,0.004,0.026,0.114
Palmeira dos Índios,2020-11-14,,estimate based on partial data,-0.006,0.005,0.068,-0.077,-0.027,-0.015,0.004,0.027,0.119
Palmeira dos Índios,2020-11-15,,estimate based on partial data,-0.006,0.005,0.072,-0.082,-0.027,-0.015,0.004,0.028,0.122
Palmeira dos Índios,2020-11-16,,forecast,-0.006,0.005,0.072,-0.082,-0.027,-0.015,0.004,0.028,0.122
Palmeira dos Índios,2020-11-17,,forecast,-0.006,0.005,0.072,-0.082,-0.027,-0.015,0.004,0.028,0.122
Palmeira dos Índios,2020-11-18,,forecast,-0.006,0.005,0.072,-0.082,-0.027,-0.015,0.004,0.028,0.122
Palmeira dos Índios,2020-11-19,,forecast,-0.006,0.005,0.072,-0.082,-0.027,-0.015,0.004,0.028,0.122
Palmeira dos Índios,2020-11-20,,forecast,-0.006,0.005,0.072,-0.082,-0.027,-0.015,0.004,0.028,0.122
Palmeira dos Índios,2020-11-21,,forecast,-0.006,0.005,0.072,-0.082,-0.027,-0.015,0.004,0.028,0.122
Palmeira dos Índios,2020-11-22,,forecast,-0.006,0.005,0.072,-0.082,-0.027,-0.015,0.004,0.028,0.122
Palmeira dos Índios,2020-10-29,,estimate,-0.005,-0.002,0.025,-0.036,-0.019,-0.011,0,0.012,0.044
Coruripe,2020-10-16,,estimate,-0.005,-0.001,0.019,-0.025,-0.011,-0.007,-0.001,0.007,0.032
Coruripe,2020-10-15,,estimate,-0.005,-0.001,0.019,-0.024,-0.011,-0.007,-0.001,0.007,0.033
Coruripe,2020-10-11,,estimate,-0.005,-0.001,0.02,-0.025,-0.012,-0.008,-0.002,0.006,0.038
Coruripe,2020-10-12,,estimate,-0.005,-0.001,0.02,-0.024,-0.011,-0.008,-0.001,0.006,0.037
Coruripe,2020-10-13,,estimate,-0.005,-0.001,0.02,-0.024,-0.011,-0.007,-0.001,0.006,0.037
Coruripe,2020-10-14,,estimate,-0.005,-0.001,0.02,-0.024,-0.011,-0.007,-0.001,0.007,0.035
Palmeira dos Índios,2020-10-30,,estimate,-0.005,-0.001,0.026,-0.037,-0.019,-0.01,0.001,0.013,0.046
Palmeira dos Índios,2020-10-31,,estimate,-0.005,-0.001,0.027,-0.038,-0.019,-0.011,0.001,0.015,0.051
